zip,precincts
77002,precinct1
77003,precinct6
77004,precinct7
77005,precinct1
77006,precinct1
77007,precinct1
77008,precinct1
77009,precinct1 or precinct6
77011,precinct6
77012,precinct6
77013,precinct2
77014,precinct4
77015,precinct2 or precinct3
77016,precinct1 or precinct3
77017,precinct2
77018,precinct1
77019,precinct1
77020,precinct6
77021,precinct7
77022,precinct1
77023,precinct6
77024,precinct5
77025,precinct1 or precinct7
77026,precinct1 or precinct6
77027,precinct1
77028,precinct1 or precinct3
77029,precinct2
77030,precinct1 or precinct7
77031,precinct7
77032,precinct4
77033,precinct7
77034,precinct2 or precinct8
77035,precinct5 or precinct7
77036,precinct5
77037,precinct1
77038,precinct1 or precinct4
77039,precinct1
77040,precinct1 or precinct4
77041,precinct1 or precinct5
77042,precinct5
77043,precinct5
77044,precinct3
77045,precinct7
77046,precinct1
77047,precinct7
77048,precinct7
77049,precinct3
77050,precinct3
77051,precinct7
77054,precinct7
77055,precinct1 or precinct5
77056,precinct5
77057,precinct5
77058,precinct8
77059,precinct8
77060,precinct1 or precinct4
77061,precinct2
77062,precinct8
77063,precinct5
77064,precinct1 or precinct4
77065,precinct4
77066,precinct4
77067,precinct4
77068,precinct4
77069,precinct4
77070,precinct4
77071,precinct5 or precinct7
77072,precinct5
77073,precinct4
77074,precinct5
77075,precinct2
77076,precinct1
77077,precinct5
77078,precinct3
77079,precinct5
77080,precinct1 or precinct5
77081,precinct1 or precinct5
77082,precinct5
77083,precinct5
77084,precinct5
77085,precinct7
77086,precinct1 or precinct4
77087,precinct2 or precinct6
77088,precinct1
77089,precinct2
77090,precinct4
77091,precinct1
77092,precinct1
77093,precinct1 or precinct3
77094,precinct5
77095,precinct5
77096,precinct5
77098,precinct1
77099,precinct5
77228,precinct3
77269,precinct4
77270,precinct1
77336,precinct3
77338,precinct4
77339,precinct4
77345,precinct4
77346,precinct4
77373,precinct4
77375,precinct4
77377,precinct4
77379,precinct4
77388,precinct4
77389,precinct4
77396,precinct3 or precinct4
77401,precinct1
77429,precinct4
77433,precinct5
77447,precinct4 or precinct5
77449,precinct5
77450,precinct5
77493,precinct5
77502,precinct2 or precinct8
77503,precinct8
77504,precinct8
77505,precinct8
77506,precinct2
77507,precinct8
77508,precinct8
77520,precinct3
77521,precinct3
77530,precinct3
77532,precinct3
77536,precinct8
77547,precinct2
77562,precinct3
77571,precinct8
77586,precinct8
77587,precinct2
77598,precinct2 or precinct8